destinatario,userIp,notificationId,mensaje,latencia_ms,timestamp
Buyer,192.168.2.56,notif-1756614652427-7046,Este es el mensaje de la notificacion,516,1756614652973
Seller,192.168.1.30,notif-1756614652463-1314,Este es el mensaje de la notificacion,512,1756614653043
Buyer,192.168.2.31,notif-1756614652463-1314,Este es el mensaje de la notificacion,512,1756614653043
Seller,192.168.1.90,notif-1756614652648-3219,Este es el mensaje de la notificacion,519,1756614653175
Buyer,192.168.2.52,notif-1756614652648-3219,Este es el mensaje de la notificacion,519,1756614653175
Seller,192.168.1.20,notif-1756614652719-6875,Este es el mensaje de la notificacion,511,1756614653307
Buyer,192.168.2.100,notif-1756614652719-6875,Este es el mensaje de la notificacion,511,1756614653307
Seller,192.168.1.18,notif-1756614652803-9655,Este es el mensaje de la notificacion,506,1756614653316
Buyer,192.168.2.39,notif-1756614652803-9655,Este es el mensaje de la notificacion,506,1756614653316
Seller,192.168.1.68,notif-1756614652827-8525,Este es el mensaje de la notificacion,506,1756614653340
Buyer,192.168.2.82,notif-1756614652827-8525,Este es el mensaje de la notificacion,506,1756614653340
Seller,192.168.1.9,notif-1756614652827-284,Este es el mensaje de la notificacion,508,1756614653368
Buyer,192.168.2.58,notif-1756614652827-284,Este es el mensaje de la notificacion,508,1756614653368
Seller,192.168.1.75,notif-1756614652940-7917,Este es el mensaje de la notificacion,506,1756614653453
Buyer,192.168.2.40,notif-1756614652940-7917,Este es el mensaje de la notificacion,506,1756614653453
Seller,192.168.1.33,notif-1756614652973-7076,Este es el mensaje de la notificacion,507,1756614653492
Buyer,192.168.2.10,notif-1756614652973-7076,Este es el mensaje de la notificacion,507,1756614653492
Seller,192.168.1.92,notif-1756614653033-9629,Este es el mensaje de la notificacion,508,1756614653551
Buyer,192.168.2.57,notif-1756614653033-9629,Este es el mensaje de la notificacion,508,1756614653551
Seller,192.168.1.58,notif-1756614653069-2131,Este es el mensaje de la notificacion,502,1756614653576
Buyer,192.168.2.14,notif-1756614653069-2131,Este es el mensaje de la notificacion,502,1756614653576
Seller,192.168.1.85,notif-1756614653094-5249,Este es el mensaje de la notificacion,502,1756614653602
Buyer,192.168.2.30,notif-1756614653094-5249,Este es el mensaje de la notificacion,502,1756614653602
Seller,192.168.1.64,notif-1756614653095-2668,Este es el mensaje de la notificacion,502,1756614653678
Buyer,192.168.2.20,notif-1756614653095-2668,Este es el mensaje de la notificacion,502,1756614653678
Seller,192.168.1.28,notif-1756614653103-1406,Este es el mensaje de la notificacion,504,1756614653811
Buyer,192.168.2.21,notif-1756614653103-1406,Este es el mensaje de la notificacion,504,1756614653811
Seller,192.168.1.39,notif-1756614653119-2539,Este es el mensaje de la notificacion,502,1756614653818
Buyer,192.168.2.50,notif-1756614653119-2539,Este es el mensaje de la notificacion,502,1756614653818
Seller,192.168.1.100,notif-1756614653175-2179,Este es el mensaje de la notificacion,508,1756614653850
Buyer,192.168.2.35,notif-1756614653175-2179,Este es el mensaje de la notificacion,508,1756614653850
Seller,192.168.1.73,notif-1756614653200-7890,Este es el mensaje de la notificacion,562,1756614653930
Buyer,192.168.2.5,notif-1756614653200-7890,Este es el mensaje de la notificacion,562,1756614653930
Seller,192.168.1.11,notif-1756614653324-769,Este es el mensaje de la notificacion,513,1756614653971
